description,count_06-23,count_10-22,pct-change
ring alarm security kit - including base station keypad motion detector smoke and co listener window and door contact sensor,5.0,0.0,inf
ring alarm and video doorbell kit,5.0,0.0,inf
fully equipped with the ring video doorbell pro,0.0,4.0,-100.0
window coverings on select privacy windows see sales for locations,0.0,4.0,-100.0
integrated solar energy system with real-time monitoring provided through participation in sunnova’s buyer-friendly leaseplus new home solar plan,0.0,4.0,-100.0
integrated solar energy system with real-time monitoring provided through participation in the buyer-friendly leaseplus new home solar plan by sunnova3,0.0,4.0,-100.0
enjoy exploring new recipes with the ge monogram stainless steel 48 professional built-in 6-burner gas cooktop with griddle,0.0,4.0,-100.0
ring alarm security kit with base station keypad motion detector smoke and co listener window and door sensor,4.0,0.0,inf
- ring alarm security kit ndash ring alarm keypadsup1,4.0,0.0,inf
the ring alarm security kit helps residents monitor and keep tabs when they’re away from home,4.0,0.0,inf
ring alarm and video doorbell pro,4.0,0.0,inf
ring alarm security kit  ring alarm smoke and co listener,0.0,3.0,-100.0
ring alarm security kit  ring alarm window and door contact sensor,0.0,3.0,-100.0
ring alarm security kit  base station,0.0,3.0,-100.0
recycled floor coverings,0.0,3.0,-100.0
integrated solar energy system with real-time monitoring provided through participation in sunnovas buyer-friendly leaseplus new home solar plan,0.0,3.0,-100.0
ring alarm security kit  ring alarm motion detector,0.0,3.0,-100.0
ring alarm security kit  ring alarm keypad,0.0,3.0,-100.0
ring smoke  co listener,3.0,0.0,inf
elegant and spacious kitchen designs with island design featuring,3.0,0.0,inf
ring alarm window and door contact sensors,0.0,2.0,-100.0
wifi heat mapping engineering non wifi dead spots,0.0,2.0,-100.0
ring alarm security kit with base station keypad motion detector smoke and co listener and window and door sensors pinnacle only,2.0,0.0,inf
ring video doorbell pro and level bolt – the invisible smart lock,0.0,2.0,-100.0
ring video doorbell pro pinnacle only,2.0,0.0,inf
ring alarm security kit with base station keypad motion detector smoke and co listener and window and door sensors,1.0,0.0,inf
